Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,Job Title_count,Job Experience Required_count,Key Skills_count,Role Category_count,Location_count,Functional Area_count,Industry_count,Role_count
0,0,0,0.0,0,0,0,0.0,72.8773928,19.0759899,3855,1,26,1,3.0,58,13,10,1.0
1,1,1,1.0,1,1,1,1.0,73.8544541,18.521428,2639,1,32,1,35.0,1,74,187,16.0
2,2,2,2.0,2,2,2,2.0,77.00270015,28.42826235,2156,1,16,1,3.0,38,10,42,1.0
3,3,3,3.0,0,3,1,3.0,72.8773928,19.0759899,4059,1,7,1,15.0,58,119,187,6.0
4,1,4,4.0,3,4,1,4.0,78.4740613,17.360589,5347,1,32,1,130.0,37,7,187,7.0
5,4,5,4.0,4,3,1,5.0,73.8544541,18.521428,4838,1,10,1,130.0,45,119,187,3.0
6,5,6,1.0,5,1,3,1.0,77.590082,12.9767936,2585,1,4,1,35.0,71,74,12,16.0
7,6,7,4.0,3,3,1,6.0,78.4740613,17.360589,3914,1,1,1,130.0,37,119,187,7.0
8,7,8,5.0,4,1,1,1.0,73.8544541,18.521428,2111,1,38,1,10.0,45,74,187,16.0
9,8,9,6.0,5,5,1,7.0,77.590082,12.9767936,2359,1,21,1,43.0,71,57,187,11.0
10,0,10,7.0,0,6,4,8.0,72.8773928,19.0759899,5569,1,26,1,1.0,58,1,3,1.0
11,9,11,3.0,6,7,1,9.0,77.5545502,28.3900177,2167,1,11,1,15.0,1,6,187,1.0
12,7,12,8.0,7,5,5,10.0,77.2219388,28.6517178,2063,1,38,1,2.0,2,57,26,1.0
13,10,13,4.0,8,3,6,11.0,,,3239,1,2,1,130.0,1,119,10,96.0
14,11,14,9.0,2,0,0,12.0,77.00270015,28.42826235,6979,1,15,1,5.0,38,13,10,3.0
15,2,15,10.0,9,8,7,13.0,80.270186,13.0836939,1513,1,16,1,26.0,16,19,5,20.0
